episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
57,200,-2106.9898934743924,23.0,0.6225059856344772,0.746268656716418,0.2432183908045976,0.802381,cuda,dueling,scale,100.0,22800,0.0005260553606058,-0.2466091478615999,35.0,52.0,17.0,0.0125,0.2622950819672131,0.21875
58,200,-1956.2131727375915,13.0,0.6062925170068028,0.7906976744186046,0.19766081871345,0.798581,cuda,dueling,scale,100.0,23200,0.0005232694221194,-0.2450087441504001,36.0,32.0,12.0,0.005,0.2045454545454545,0.1904761904761904
59,200,-2006.33378051848,16.0,0.6164609053497943,0.7435897435897436,0.1497076023391812,0.794781,cuda,dueling,scale,100.0,23600,0.0005341602272528,-0.2500606240332126,30.0,30.0,13.0,0.0125,0.3428571428571428,0.2
60,200,-2004.9354904169877,25.0,0.612876935615322,0.5348837209302325,0.4385964912280699,0.790981,cuda,dueling,scale,100.0,24000,0.0005446419678628,-0.2535528802871704,35.0,38.0,7.0,0.01,0.3863636363636363,0.5714285714285714
61,200,-1940.0570695976664,26.0,0.6005046257359126,0.6041666666666666,0.256060606060606,0.787181,cuda,dueling,scale,100.0,24400,0.0005946938229317,-0.2552458150684834,36.0,37.0,12.0,0.005,0.375,0.4
62,200,-2089.5739579361643,1.0,0.6213266162888329,0.979591836734694,0.0666666666666622,0.783381,cuda,dueling,scale,100.0,24800,0.0005116511064989,-0.2592238053679466,41.0,41.0,10.0,0.015,0.0181818181818181,0.0
63,200,-2002.6252120793863,9.0,0.6175,0.8387096774193549,0.1862068965517237,0.779581,cuda,dueling,scale,100.0,25200,0.0005356866795045,-0.2637023224681616,24.0,29.0,5.0,0.0125,0.2142857142857142,0.0
64,200,-2049.477520974499,19.0,0.6180781758957655,0.7307692307692307,0.437575757575757,0.775781,cuda,dueling,scale,100.0,25600,0.0005165300497901,-0.2638575588911772,40.0,43.0,9.0,0.0,0.25,0.2666666666666666
65,200,-1916.3593232985247,38.0,0.5951787198669992,0.5208333333333334,0.3760416666666665,0.771981,cuda,dueling,scale,100.0,26000,0.0005167949086171,-0.2619667495787143,44.0,40.0,9.0,0.005,0.6037735849056604,0.3529411764705882
66,200,-2063.2304659491524,19.0,0.6241935483870967,0.7735849056603774,0.3592039800995021,0.768181,cuda,dueling,scale,100.0,26400,0.0006770476618839,-0.2793838801980018,48.0,49.0,6.0,0.015,0.2727272727272727,0.4
67,200,-1995.0494523562045,29.0,0.6112469437652812,0.5384615384615384,0.3317554240631162,0.764381,cuda,dueling,scale,100.0,26800,0.000576591657591,-0.2775341788679361,36.0,31.0,9.0,0.0075,0.4146341463414634,0.8
68,200,-2089.8830740836565,10.0,0.6220213640098603,0.8205128205128205,0.2564102564102557,0.760581,cuda,dueling,scale,100.0,27200,0.0005442977037455,-0.2839533686637878,26.0,37.0,4.0,0.0075,0.217391304347826,0.0
69,200,-1796.9035171373137,44.0,0.57476231633535,0.3518518518518518,0.439002267573696,0.7567809999999999,cuda,dueling,scale,100.0,27600,0.0006298492000496,-0.2944377592206001,39.0,45.0,10.0,0.0225,0.64,0.631578947368421
70,200,-1992.4408446040595,13.0,0.6135225375626043,0.7297297297297297,0.1846994535519123,0.752981,cuda,dueling,scale,100.0,28000,0.0006173009345366,-0.2917983912676573,24.0,32.0,5.0,0.005,0.275,0.2857142857142857
