step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
36.0,1.0,0.0,1.0,15.2,34.30685935032765,994.9872583002041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.6419142135623743,0.0,0.0,2.0,1.52,0.0019142135623730955,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
37.0,1.0,0.0,1.0,15.6,35.30685935032765,994.7958369439668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.6819142135623744,0.0,0.0,2.0,1.56,0.0019142135623730955,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
38.0,1.0,0.0,1.0,15.8,36.30685935032765,994.6458369439669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.701500000000001,0.0,0.0,2.0,1.58,0.0015000000000000002,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
39.0,1.0,0.0,1.0,16.0,36.30685935032765,994.5044155877296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.7214142135623742,0.0,0.0,2.0,1.6,0.0014142135623730952,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
40.0,1.0,0.0,2.0,16.2,37.30685935032765,994.3544155877296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-5.741500000000001,0.0,0.0,4.0,1.62,0.0015000000000000002,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
41.0,1.0,0.0,0.0,16.2,38.30685935032765,994.1629942314923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-1.741914213562374,0.0,0.0,0.0,1.62,0.0019142135623730955,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
42.0,1.0,0.0,1.0,16.2,38.30685935032765,994.0215728752551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-3.7414142135623742,0.0,0.0,2.0,1.62,0.0014142135623730952,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
43.0,0.0,0.0,0.0,16.4,38.30685935032765,993.921572875255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-1.7610000000000006,0.0,0.0,0.0,1.64,0.001,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
44.0,0.0,0.0,0.0,16.4,38.30685935032765,993.8715728752551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-1.7605000000000008,0.0,0.0,0.0,1.64,0.0005,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
45.0,0.0,0.0,3.0,16.6,38.30685935032765,993.6801515190178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,-7.7819142135623744,0.0,0.0,6.0,1.6600000000000001,0.0019142135623730955,0.0,0.0,0.12000000000000088,0,random,scenario_0_no_jammer_calibrated
