episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,replay_size,avg_loss,avg_q_tot,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,backscatter_success_rate,active_success_rate,fallback_rate,device,high_level_action_0_count,high_level_action_1_count,high_level_action_2_count,high_level_action_3_count,high_level_action_4_count,high_level_action_5_count,high_level_action_6_count,high_level_action_7_count,high_level_action_8_count,high_level_action_9_count
41,200,-1564.6380849090892,187.0,0.47543713572023316,0.49466192170818507,0.4961197417890331,0.6884,41,23.514406204223633,-9.85420166015625,29.0,252.0,29.0,0.5536332179930796,0.5094339622641509,0.005,cuda,29.0,132.0,23.0,37.0,32.0,37.0,32.0,24.0,27.0,27.0
42,200,-2264.092604797816,54.0,0.5750421585160203,0.8419117647058824,0.41186440677966096,0.6808000000000001,42,22.266572952270508,-9.30132568359375,18.0,251.0,21.0,0.10315186246418338,0.42857142857142855,0.0075,cuda,23.0,149.0,26.0,28.0,30.0,26.0,31.0,32.0,26.0,29.0
43,200,-1826.2182768758557,153.0,0.5430622009569378,0.4784172661870504,0.18237700128549725,0.6732,43,22.77701187133789,-9.073010864257812,19.0,261.0,17.0,0.5172413793103449,0.6666666666666666,0.015,cuda,45.0,135.0,22.0,40.0,22.0,23.0,43.0,25.0,21.0,24.0
44,200,-1473.985156959059,223.0,0.4628857381150959,0.48299319727891155,0.27754430026510396,0.6656,44,21.656431198120117,-8.681029052734376,16.0,274.0,20.0,0.6,0.5588235294117647,0.0475,cuda,73.0,111.0,31.0,25.0,32.0,23.0,32.0,20.0,31.0,22.0
45,200,-1671.6629079644902,173.0,0.509046052631579,0.506993006993007,0.2588901864106224,0.658,45,21.60649871826172,-8.03759765625,28.0,248.0,38.0,0.4525316455696203,0.39473684210526316,0.0375,cuda,19.0,162.0,30.0,23.0,35.0,35.0,24.0,29.0,22.0,21.0
46,200,-1681.6522112504106,197.0,0.501610305958132,0.5208333333333334,0.3947012458682939,0.6504000000000001,46,24.39934539794922,-7.687802734375,21.0,261.0,27.0,0.4804804804804805,0.7115384615384616,0.0175,cuda,42.0,160.0,15.0,15.0,30.0,27.0,37.0,25.0,25.0,24.0
47,200,-2155.6388904249234,24.0,0.601010101010101,0.8981132075471698,0.27042253521126747,0.6428,47,22.854381561279297,-7.65845703125,20.0,249.0,16.0,0.06325301204819277,0.1111111111111111,0.0125,cuda,54.0,142.0,22.0,27.0,20.0,24.0,20.0,32.0,32.0,27.0
48,200,-1599.1395202683052,216.0,0.4888,0.43728813559322033,0.2621270857913366,0.6352,48,22.197433471679688,-7.597467651367188,19.0,275.0,21.0,0.4796954314720812,0.6923076923076923,0.005,cuda,51.0,137.0,34.0,26.0,17.0,26.0,28.0,25.0,29.0,27.0
49,200,-1483.5842648127687,196.0,0.46767422334172964,0.42248062015503873,0.35092719466520506,0.6275999999999999,49,22.792654037475586,-7.551556396484375,16.0,239.0,19.0,0.6272401433691757,0.6774193548387096,0.01,cuda,91.0,124.0,23.0,22.0,21.0,25.0,13.0,27.0,27.0,27.0
50,200,-1691.95706311489,164.0,0.5056451612903226,0.44402985074626866,0.36034297963558415,0.62,50,21.21135711669922,-7.750694580078125,21.0,250.0,20.0,0.48355263157894735,0.5151515151515151,0.0125,cuda,108.0,26.0,18.0,86.0,36.0,24.0,23.0,25.0,27.0,27.0
51,200,-1828.4792886656376,71.0,0.5411868910540301,0.6964980544747081,0.24765413903217884,0.6124,51,21.155248641967773,-7.864486083984375,22.0,233.0,24.0,0.20567375886524822,0.3333333333333333,0.005,cuda,136.0,75.0,23.0,22.0,24.0,31.0,19.0,20.0,27.0,23.0
52,200,-1704.592252639855,158.0,0.5137987012987013,0.44680851063829785,0.4083087994766111,0.6048,52,22.33330726623535,-8.0155908203125,19.0,209.0,26.0,0.4524590163934426,0.40816326530612246,0.005,cuda,164.0,62.0,22.0,30.0,15.0,24.0,18.0,22.0,22.0,21.0
53,200,-1589.64438822627,180.0,0.48770491803278687,0.3815261044176707,0.4738920579201404,0.5972,53,20.59161949157715,-8.467930908203124,22.0,226.0,23.0,0.5519713261648745,0.6190476190476191,0.005,cuda,88.0,47.0,25.0,85.0,34.0,26.0,24.0,25.0,24.0,22.0
54,200,-1545.5397781209774,193.0,0.5033898305084745,0.3829787234042553,0.186838211320944,0.5896,54,21.276262283325195,-8.977311401367187,12.0,221.0,14.0,0.6641509433962264,0.68,0.015,cuda,184.0,31.0,32.0,27.0,23.0,16.0,22.0,26.0,19.0,20.0
55,200,-1820.4820137656427,123.0,0.5476588628762542,0.6163793103448276,0.18702021138512887,0.5820000000000001,55,20.196548461914062,-9.018973388671874,22.0,202.0,30.0,0.34868421052631576,0.3090909090909091,0.005,cuda,172.0,24.0,33.0,35.0,17.0,23.0,23.0,21.0,29.0,23.0
56,200,-2234.294280447299,18.0,0.6043956043956044,0.9353233830845771,0.38571428571428523,0.5744,56,19.438453674316406,-9.440714111328125,22.0,179.0,24.0,0.07053941908713693,0.025,0.0025,cuda,161.0,25.0,28.0,48.0,25.0,28.0,18.0,21.0,16.0,30.0
57,200,-1530.83498176569,224.0,0.4788961038961039,0.38636363636363635,0.27297753114629236,0.5668,57,18.63064193725586,-9.466160278320313,10.0,245.0,19.0,0.6842105263157895,0.45714285714285713,0.0075,cuda,171.0,24.0,25.0,41.0,15.0,18.0,23.0,31.0,30.0,22.0
58,200,-1397.5997959813512,240.0,0.4579831932773109,0.40384615384615385,0.2652300041442188,0.5591999999999999,58,20.668842315673828,-9.75377685546875,15.0,235.0,25.0,0.569060773480663,0.7083333333333334,0.015,cuda,162.0,23.0,26.0,67.0,25.0,20.0,22.0,18.0,18.0,19.0
59,200,-2367.032636507894,6.0,0.6215767634854772,0.9692307692307692,0.2399999999999984,0.5516000000000001,59,18.286081314086914,-9.434716796875,17.0,179.0,16.0,0.026041666666666668,0.037037037037037035,0.0025,cuda,143.0,19.0,18.0,87.0,21.0,20.0,21.0,23.0,26.0,22.0
60,200,-2445.2667150955413,14.0,0.6285028022417934,0.9586466165413534,0.2840579710144923,0.544,60,20.21767807006836,-9.32061279296875,19.0,252.0,14.0,0.04395604395604396,0.08695652173913043,0.005,cuda,20.0,27.0,15.0,202.0,21.0,23.0,24.0,23.0,22.0,23.0
61,200,-1673.3617629318867,167.0,0.505229283990346,0.42231075697211157,0.44769243117425156,0.5364,61,18.562074661254883,-9.157321166992187,19.0,227.0,24.0,0.5177304964539007,0.44680851063829785,0.005,cuda,145.0,27.0,16.0,68.0,26.0,26.0,22.0,29.0,20.0,21.0
62,200,-1480.046279994364,207.0,0.4690939881456393,0.40977443609022557,0.2890417889304867,0.5288,62,17.90660285949707,-8.864854736328125,14.0,249.0,17.0,0.532967032967033,0.3939393939393939,0.005,cuda,132.0,21.0,28.0,88.0,24.0,16.0,22.0,36.0,18.0,15.0
63,200,-1417.7341862909627,220.0,0.4640743871513102,0.37280701754385964,0.3077118697946468,0.5212,63,17.73149299621582,-8.6446337890625,18.0,205.0,23.0,0.6677740863787376,0.4222222222222222,0.01,cuda,177.0,15.0,26.0,45.0,25.0,21.0,24.0,39.0,16.0,12.0
64,200,-1582.5515190581034,207.0,0.5109311740890689,0.2916666666666667,0.25530431673965504,0.5136000000000001,64,16.390573501586914,-8.503224487304687,15.0,191.0,25.0,0.7272727272727273,0.6326530612244898,0.0325,cuda,197.0,20.0,19.0,23.0,27.0,20.0,26.0,26.0,16.0,26.0
65,200,-1585.040921016844,172.0,0.504594820384294,0.334841628959276,0.2677527378043262,0.506,65,17.408491134643555,-8.504970092773437,14.0,201.0,21.0,0.5401459854014599,0.631578947368421,0.005,cuda,193.0,21.0,26.0,26.0,18.0,20.0,24.0,23.0,22.0,27.0
66,200,-1601.550352359465,189.0,0.49958643507030603,0.4620938628158845,0.3351724137931035,0.49839999999999995,66,16.88888168334961,-8.501571044921874,12.0,255.0,22.0,0.5909090909090909,0.47619047619047616,0.005,cuda,155.0,50.0,64.0,18.0,22.0,16.0,16.0,21.0,16.0,22.0
67,200,-1911.4362977765065,121.0,0.5474631751227496,0.6372881355932203,0.15961842463886616,0.4908,67,17.334308624267578,-8.54608642578125,16.0,286.0,9.0,0.27546296296296297,0.125,0.0125,cuda,126.0,33.0,119.0,22.0,11.0,19.0,17.0,24.0,17.0,12.0
68,200,-1576.625188624308,173.0,0.48559322033898306,0.4697508896797153,0.5122635857937526,0.48319999999999996,68,15.724096298217773,-8.699194946289062,16.0,263.0,18.0,0.5471014492753623,0.6875,0.0175,cuda,60.0,17.0,146.0,29.0,22.0,26.0,18.0,37.0,20.0,25.0
69,200,-1497.805619340116,177.0,0.4706397896581946,0.48056537102473496,0.30309098824553765,0.4756,69,14.986852645874023,-8.89326416015625,16.0,265.0,18.0,0.44345238095238093,0.8,0.0125,cuda,24.0,29.0,172.0,58.0,17.0,19.0,18.0,28.0,21.0,14.0
70,200,-1696.471768368546,165.0,0.5124792013311148,0.5322033898305085,0.22588674548848786,0.46799999999999997,70,15.630040168762207,-8.9489404296875,24.0,276.0,20.0,0.5067114093959731,0.4,0.005,cuda,15.0,33.0,215.0,19.0,17.0,26.0,18.0,17.0,20.0,20.0
71,200,-2368.3804016440336,18.0,0.6243980738362761,0.9530201342281879,0.32727272727272694,0.46040000000000003,71,16.26572036743164,-8.784613037109375,15.0,284.0,16.0,0.03201970443349754,0.19230769230769232,0.035,cuda,20.0,22.0,61.0,191.0,22.0,18.0,19.0,18.0,15.0,14.0
72,200,-1553.8466204902654,190.0,0.47229114971050457,0.4847328244274809,0.5948261657604218,0.4528000000000001,72,14.324446678161621,-8.585245361328125,18.0,241.0,21.0,0.5724381625441696,0.7777777777777778,0.035,cuda,17.0,49.0,130.0,19.0,24.0,22.0,27.0,23.0,78.0,11.0
73,200,-1554.0095312049114,194.0,0.47807757166947723,0.4673202614379085,0.3197892769139264,0.44520000000000004,73,15.980644226074219,-8.439517822265625,25.0,280.0,26.0,0.41854636591478694,0.54,0.005,cuda,22.0,44.0,180.0,39.0,20.0,28.0,19.0,20.0,17.0,11.0
74,200,-2008.4404963573643,109.0,0.5376799322607959,0.7105263157894737,0.34422714761697815,0.4376000000000001,74,15.991541862487793,-8.344246826171876,13.0,288.0,17.0,0.321656050955414,0.26666666666666666,0.005,cuda,19.0,60.0,75.0,144.0,21.0,18.0,15.0,14.0,20.0,14.0
75,200,-1988.7535297044221,81.0,0.5603663613655288,0.75,0.36541353383458647,0.43000000000000005,75,15.914459228515625,-8.517072143554687,15.0,279.0,21.0,0.23389830508474577,0.3076923076923077,0.015,cuda,21.0,65.0,86.0,51.0,19.0,19.0,22.0,29.0,68.0,20.0
76,200,-2475.058588302481,28.0,0.6059356966199505,0.9480968858131488,0.2442367601246105,0.4224,76,13.929010391235352,-8.516864013671874,9.0,275.0,16.0,0.05371900826446281,0.07142857142857142,0.065,cuda,22.0,101.0,13.0,133.0,35.0,13.0,11.0,19.0,31.0,22.0
77,200,-1556.023381350147,200.0,0.4691358024691358,0.477124183006536,0.6187161639597835,0.41480000000000006,77,14.46710205078125,-8.81626220703125,16.0,289.0,17.0,0.4036281179138322,0.6470588235294118,0.0125,cuda,18.0,121.0,20.0,50.0,45.0,21.0,19.0,50.0,42.0,14.0
78,200,-1406.8186408657068,206.0,0.44851063829787235,0.42066420664206644,0.5284024405428963,0.4072,78,15.734977722167969,-8.82044189453125,10.0,247.0,24.0,0.569078947368421,0.7021276595744681,0.015,cuda,15.0,103.0,18.0,82.0,42.0,11.0,74.0,16.0,19.0,20.0
79,200,-1668.5048714957281,174.0,0.5095277547638773,0.4594594594594595,0.23673469387755103,0.39960000000000007,79,15.4686279296875,-8.6099951171875,11.0,276.0,20.0,0.5160142348754448,0.7837837837837838,0.005,cuda,81.0,174.0,24.0,24.0,11.0,13.0,19.0,16.0,21.0,17.0
80,200,-1482.0296435358628,183.0,0.4608096468561585,0.474025974025974,0.5147798017062486,0.392,80,13.52957534790039,-8.615902099609375,8.0,287.0,21.0,0.5050505050505051,0.8918918918918919,0.0025,cuda,21.0,206.0,17.0,16.0,67.0,10.0,20.0,15.0,14.0,14.0
