step,primary_busy,successful_packets,dropped_packets,avg_queue_length,total_iot_energy,total_uav_energy,jamming_failures,collision_count,duplicate_target_count,invalid_action_rate,out_of_coverage_action_rate,jammed_transmission_rate,invalid_action_count,out_of_coverage_action_count,no_queue_selected_count,insufficient_energy_count,busy_mode_invalid_count,jammed_transmission_count,successful_backscatter_packets,successful_active_packets,attempted_backscatter_packets,attempted_active_packets,backscatter_success_rate,active_success_rate,harvested_energy_total,mode_usage_idle,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,mode_usage_relay,mode_usage_avoid_jammer,greedy_fallback_count,per_uav_served_packets_uav_0,per_iot_delivered_packets_iot_0,per_iot_delivered_packets_iot_1,per_iot_delivered_packets_iot_2,per_iot_delivered_packets_iot_3,per_iot_delivered_packets_iot_4,reward_total,reward_throughput,reward_avoidance,penalty_drop,penalty_delay,penalty_energy,penalty_jamming,penalty_collision,penalty_unfairness,episode_id,policy_name,scenario_name
30.0,1.0,1.0,0.0,9.8,34.30685935032765,999.2000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,11.0,0.0,4.0,-0.1148065693430659,1.0,0.0,0.0,0.9800000000000001,0.0005,0.0,0.0,0.1343065693430658,0,backscatter_only,scenario_0_no_jammer_calibrated
31.0,1.0,1.0,0.0,10.0,34.30685935032765,999.1500000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,4.0,-0.1365000000000001,1.0,0.0,0.0,1.0,0.0005,0.0,0.0,0.1360000000000001,0,backscatter_only,scenario_0_no_jammer_calibrated
32.0,0.0,0.0,0.0,10.6,34.30685935032765,999.1500000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,4.0,-1.1960000000000002,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.1360000000000001,0,backscatter_only,scenario_0_no_jammer_calibrated
33.0,1.0,1.0,0.0,11.2,34.30685935032765,999.1000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,5.0,-0.2520976331360947,1.0,0.0,0.0,1.1199999999999999,0.0005,0.0,0.0,0.13159763313609477,0,backscatter_only,scenario_0_no_jammer_calibrated
34.0,1.0,1.0,0.0,11.6,34.30685935032765,999.0500000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,13.0,0.0,5.0,-0.2936958762886598,1.0,0.0,0.0,1.16,0.0005,0.0,0.0,0.13319587628865986,0,backscatter_only,scenario_0_no_jammer_calibrated
35.0,1.0,1.0,0.0,12.0,34.30685935032765,999.0000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,14.0,0.0,5.0,-0.33516063348416314,1.0,0.0,0.0,1.2000000000000002,0.0005,0.0,0.0,0.13466063348416296,0,backscatter_only,scenario_0_no_jammer_calibrated
36.0,0.0,0.0,0.0,12.4,34.30685935032765,999.0000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,14.0,0.0,5.0,-1.3746606334841631,0.0,0.0,0.0,1.2400000000000002,0.0,0.0,0.0,0.13466063348416296,0,backscatter_only,scenario_0_no_jammer_calibrated
37.0,0.0,0.0,0.0,12.6,34.30685935032765,999.0000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,14.0,0.0,5.0,-1.394660633484163,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.13466063348416296,0,backscatter_only,scenario_0_no_jammer_calibrated
38.0,1.0,1.0,0.0,12.8,34.30685935032765,998.950000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,5.0,-0.4165000000000003,1.0,0.0,0.0,1.2800000000000002,0.0005,0.0,0.0,0.13600000000000004,0,backscatter_only,scenario_0_no_jammer_calibrated
39.0,1.0,1.0,0.0,12.8,34.30685935032765,998.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,15.0,0.0,6.0,-0.41291379310344856,1.0,0.0,0.0,1.2800000000000002,0.0005,0.0,0.0,0.13241379310344834,0,backscatter_only,scenario_0_no_jammer_calibrated
40.0,1.0,1.0,0.0,13.0,34.30685935032765,998.850000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,15.0,0.0,7.0,-0.4298430656934308,1.0,0.0,0.0,1.3,0.0005,0.0,0.0,0.1293430656934307,0,backscatter_only,scenario_0_no_jammer_calibrated
